date,cases,deaths
2020-01-22,0,0
2020-01-23,2,0
2020-01-24,0,0
2020-01-25,3,0
2020-01-26,3,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,2,0
2020-01-30,0,0
2020-01-31,2,0
2020-02-01,1,0
2020-02-02,2,0
2020-02-03,0,0
2020-02-04,2,1
2020-02-05,4,0
2020-02-06,3,0
2020-02-07,1,0
2020-02-08,1,0
2020-02-09,3,0
2020-02-10,9,0
2020-02-11,11,0
2020-02-12,1,0
2020-02-13,3,0
2020-02-14,3,0
2020-02-15,0,0
2020-02-16,1,0
2020-02-17,3,0
2020-02-18,2,0
2020-02-19,1,1
2020-02-20,5,0
2020-02-21,0,0
2020-02-22,1,0
2020-02-23,5,0
2020-02-24,5,0
2020-02-25,5,0
2020-02-26,7,0
2020-02-27,1,0
2020-02-28,2,0
2020-02-29,1,0
2020-03-01,1,0
2020-03-02,4,0
2020-03-03,0,0
2020-03-04,5,0
2020-03-05,0,0
2020-03-06,2,0
2020-03-07,1,0
2020-03-08,6,1
2020-03-09,1,0
2020-03-10,5,0
2020-03-11,6,0
2020-03-12,3,0
2020-03-13,5,1
2020-03-14,6,0
2020-03-15,5,0
2020-03-16,10,0
2020-03-17,7,0
2020-03-18,19,0
2020-03-19,27,0
2020-03-20,48,0
2020-03-21,17,0
2020-03-22,44,0
2020-03-23,39,0
2020-03-24,30,0
2020-03-25,24,0
2020-03-26,43,0
2020-03-27,66,0
2020-03-28,42,0
2020-03-29,80,0
2020-03-30,41,0
2020-03-31,32,0
2020-04-01,51,0
2020-04-02,37,0
2020-04-03,43,0
2020-04-04,17,0
2020-04-05,28,0
2020-04-06,24,0
2020-04-07,21,0
2020-04-08,25,0
2020-04-09,13,0
2020-04-10,16,0
2020-04-11,11,0
2020-04-12,4,0
2020-04-13,5,0
2020-04-14,3,0
2020-04-15,5,0
2020-04-16,0,0
2020-04-17,4,0
2020-04-18,3,0
2020-04-19,1,0
2020-04-20,0,0
2020-04-21,4,0
2020-04-22,4,0
2020-04-23,2,0
2020-04-24,0,0
2020-04-25,2,0
2020-04-26,0,0
2020-04-27,0,0
2020-04-28,0,0
2020-04-29,0,0
2020-04-30,0,0
2020-05-01,2,0
2020-05-02,0,0
2020-05-03,0,0
2020-05-04,1,0
2020-05-05,0,0
2020-05-06,0,0
2020-05-07,4,0
2020-05-08,0,0
2020-05-09,0,0
2020-05-10,3,0
2020-05-11,0,0
2020-05-12,0,0
2020-05-13,3,0
2020-05-14,1,0
2020-05-15,1,0
2020-05-16,0,0
2020-05-17,3,0
2020-05-18,0,0
2020-05-19,0,0
2020-05-20,0,0
2020-05-21,0,0
2020-05-22,10,0
2020-05-23,0,0
2020-05-24,0,0
2020-05-25,0,0
2020-05-26,0,0
2020-05-27,1,0
2020-05-28,0,0
2020-05-29,13,0
2020-05-30,3,0
2020-05-31,2,0
2020-06-01,3,0
2020-06-02,6,0
2020-06-03,0,0
2020-06-04,6,0
2020-06-05,3,0
2020-06-06,3,0
2020-06-07,1,0
2020-06-08,1,0
2020-06-09,0,0
2020-06-10,0,0
2020-06-11,0,0
2020-06-12,1,0
2020-06-13,1,0
2020-06-14,0,0
2020-06-15,3,0
2020-06-16,0,0
2020-06-17,8,0
2020-06-18,4,0
2020-06-19,0,0
2020-06-20,4,1
2020-06-21,3,0
2020-06-22,30,0
2020-06-23,16,1
2020-06-24,2,0
2020-06-25,14,1
2020-06-26,3,0
2020-06-27,1,0
2020-06-28,2,0
2020-06-29,4,0
2020-06-30,2,0
2020-07-01,28,0
2020-07-02,9,0
2020-07-03,5,0
2020-07-04,11,0
2020-07-05,10,0
2020-07-06,17,0
2020-07-07,14,0
2020-07-08,24,0
2020-07-09,42,0
2020-07-10,0,0
2020-07-11,66,0
2020-07-12,38,0
2020-07-13,0,0
2020-07-14,100,1
2020-07-15,19,2
2020-07-16,67,0
2020-07-17,58,1
2020-07-18,0,1
2020-07-19,64,0
2020-07-20,108,0
2020-07-21,73,2
2020-07-22,173,0
2020-07-23,118,1
2020-07-24,123,1
2020-07-25,133,2
2020-07-26,128,0
2020-07-27,145,4
2020-07-28,106,1
2020-07-29,118,1
2020-07-30,149,1
2020-07-31,121,2
2020-08-01,124,6
2020-08-02,115,2
2020-08-03,78,3
2020-08-04,80,4
2020-08-05,85,1
2020-08-06,95,3
2020-08-07,89,1
2020-08-08,69,0
2020-08-09,72,5
2020-08-10,69,3
2020-08-11,33,4
2020-08-12,62,4
2020-08-13,69,3
2020-08-14,48,1
2020-08-15,46,2
2020-08-16,74,0
2020-08-17,44,0
2020-08-18,36,2
2020-08-19,26,1
2020-08-20,18,3
2020-08-21,27,0
2020-08-22,26,2
2020-08-23,25,0
2020-08-24,9,0
2020-08-25,19,1
2020-08-26,24,1
2020-08-27,11,2
2020-08-28,13,3
2020-08-29,18,3
2020-08-30,15,1
2020-08-31,9,1
2020-09-01,12,1
2020-09-02,8,3
2020-09-03,8,1
2020-09-04,12,0
2020-09-05,7,0
2020-09-06,21,2
2020-09-07,11,2
2020-09-08,6,1
2020-09-09,6,0
2020-09-10,12,0
2020-09-11,12,0
2020-09-12,13,1
2020-09-13,19,0
2020-09-14,14,1
2020-09-15,4,1
2020-09-16,9,0
2020-09-17,9,0
2020-09-18,3,1
2020-09-19,13,0
2020-09-20,23,0
2020-09-21,6,0
2020-09-22,8,0
2020-09-23,3,1
2020-09-24,7,0
2020-09-25,2,1
2020-09-26,1,0
2020-09-27,6,0
2020-09-28,10,0
2020-09-29,4,0
2020-09-30,8,0
2020-10-01,10,0
2020-10-02,7,0
2020-10-03,4,0
2020-10-04,5,0
2020-10-05,11,0
2020-10-06,8,0
2020-10-07,11,0
2020-10-08,18,0
2020-10-09,8,0
2020-10-10,6,0
2020-10-11,7,0
2020-10-12,11,0
2020-10-13,8,0
2020-10-14,0,0
2020-10-15,12,0
2020-10-16,7,0
2020-10-17,17,0
2020-10-18,4,0
2020-10-19,15,0
2020-10-20,5,0
2020-10-21,8,0
2020-10-22,11,0
2020-10-23,4,0
